"SongPage","Title","Artist"
"song-display.html?song=Blue_Spanish_Sky_Chris_Isaak.pdf&id=1461","Blue Spanish Sky","Chris Isaak"
"song-display.html?song=Blue_Hotel_Chris_Isaak.pdf&id=1460","Blue Hotel","Chris Isaak"
"song-display.html?song=Higher_and_Higher_Jackie_Wilson.pdf&id=1459","Higher and Higher","Jackie Wilson"
"song-display.html?song=Everlasting_Love_Love_Affair.pdf&id=1458","Everlasting Love","Love Affair"
"song-display.html?song=Paper_Tiger_Sue_Thompson.pdf&id=1457","Paper Tiger","Sue Thompson"
"song-display.html?song=Peaceful_Easy_Feeling_Eagles.pdf&id=1456","Peaceful Easy Feeling","Eagles"
"song-display.html?song=Fairytale_Pointer_Sisters.pdf&id=1455","Fairytale","Pointer Sisters"
"song-display.html?song=Everybody_Loves_A_Clown_Gary_Lewis_and_the_Playboys.pdf&id=1454","Everybody Loves A Clown","Gary Lewis and the Playboys"
"song-display.html?song=So_You_Want_To_Be_A_Rock_and_Roll_Star_Byrds.pdf&id=1453","So You Want To Be A Rock and Roll Star","Byrds"
"song-display.html?song=Ride_Captain_Ride_Blues_Image.pdf&id=1452","Ride Captain Ride","Blues Image"
"song-display.html?song=Any_Time_At_All_Beatles.pdf&id=1451","Any Time At All","Beatles"
"song-display.html?song=I_Just_Want_To_Celebrate_Rare_Earth.pdf&id=1450","I Just Want To Celebrate","Rare Earth"
"song-display.html?song=Suddenly_You_Love_Me_Tremeloes.pdf&id=1449","Suddenly You Love Me","Tremeloes"
"song-display.html?song=Caroline_No_Beach_Boys.pdf&id=1448","Caroline No","Beach Boys"
"song-display.html?song=Arizona_Mark_Lindsay.pdf&id=1447","Arizona","Mark Lindsay"
"song-display.html?song=What_Am_I_Doing_Hangin_Round_Monkees.pdf&id=1446","What Am I Doing Hangin' Round","Monkees"
"song-display.html?song=Ashes_to_Ashes_David_Bowie.pdf&id=1445","Ashes To Ashes","David Bowie"
"song-display.html?song=The_Unguarded_Moment_Church.pdf&id=1444","The Unguarded Moment","Church"
"song-display.html?song=Tapioca_Tundra_Monkees.pdf&id=1443","Tapioca Tundra","Monkees"
"song-display.html?song=You_Just_May_Be_The_One_Monkees.pdf&id=1442","You Just May Be The One","Monkees"
"song-display.html?song=Dont_Change_INXS.pdf&id=1441","Don't Change","INXS"
"song-display.html?song=Little_Red_Corvette_Prince.pdf&id=1440","Little Red Corvette","Prince"
"song-display.html?song=Fixing_A_Hole_Beatles.pdf&id=1439","Fixing A Hole","Beatles"
"song-display.html?song=Lodi_Creedence_Clearwater_Revival.pdf&id=1438","Lodi","Creedence Clearwater Revival"
"song-display.html?song=Seasons_In_The_Sun_Terry_Jacks.pdf&id=1437","Seasons In The Sun","Terry Jacks"
"song-display.html?song=Seduced_Leon_Redbone.pdf&id=1436","Seduced","Leon Redbone"
"song-display.html?song=Here_There_and_Everywhere_Beatles.pdf&id=1435","Here There and Everywhere","Beatles"
"song-display.html?song=Alone_Again_Naturally_Gilbert_OSullivan.pdf&id=1434","Alone Again [Naturally]","Gilbert O'Sullivan"
"song-display.html?song=Time_In_A_Bottle_Jim_Croce.pdf&id=1433","Time In A Bottle","Jim Croce"
"song-display.html?song=Blame_It_On_The_Ukulele.pdf&id=1432","Blame It On The Ukulele","Eydie Gorme"
"song-display.html?song=In_The_Back_Of_My_Mind_Beach_Boys.pdf&id=1431","In The Back Of My Mind","Beach Boys"
"song-display.html?song=Please_Let_Me_Wonder_Beach_Boys.pdf&id=1430","Please Let Me Wonder","Beach Boys"
"song-display.html?song=Cool_For_Cats_Squeeze.pdf&id=1429","Cool For Cats","Squeeze"
"song-display.html?song=Now_Were_Getting_Somewhere_Crowded_House.pdf&id=1428","Now We're Getting Somewhere","Crowded House"
"song-display.html?song=Youre_My_World_Cilla_Black.pdf&id=1427","You're My World","Cilla Black"
"song-display.html?song=Always_Look_On_The_Bright_Side_Of_Life_Monty_Python.pdf&id=1426","Always Look On The Bright Side Of Life","Monty Python"
"song-display.html?song=Peace_Love_and_Understanding_Elvis_Costello_and_the_Attractions.pdf&id=1425","Peace Love and Understanding","Elvis Costello and the Attractions"
"song-display.html?song=Budapest_George_Ezra_G.pdf&id=1424","Budapest","George Ezra"
"song-display.html?song=With_A_Little_Help_From_My_Friends_Beatles.pdf&id=1423","With A Little Help From My Friends","Beatles"
"song-display.html?song=Budapest_George_Ezra.pdf&id=1422","Budapest","George Ezra"
"song-display.html?song=Heaven_Sent_Best_Coast.pdf&id=1420","Heaven Sent","Best Coast"
"song-display.html?song=Pilot_of_the_Airwaves_Charlie_Dore.pdf&id=1419","Pilot Of The Airwaves","Charlie Dore"
"song-display.html?song=Midnight_Special_Creedence_Clearwater_Revival.pdf&id=1418","Midnight Special","Creedence Clearwater Revival"
"song-display.html?song=Pleasant_Valley_Sunday_Monkees.pdf&id=1417","Pleasant Valley Sunday","Monkees"
"song-display.html?song=She_Caught_The_Katy_Taj_Mahal.pdf&id=1405","She Caught The Katy","Taj Mahal"
"song-display.html?song=The_Monkees__Theme_From_Monkees.pdf&id=1404","The Monkees [Theme From]","Monkees"
"song-display.html?song=Last_Train_To_Clarksville_Monkees.pdf&id=1403","Last Train To Clarksville","Monkees"
"song-display.html?song=Chapel_Of_Love_Dixie_Cups.pdf&id=1402","Chapel Of Love","Dixie Cups"
"song-display.html?song=You_May_Be_Right_D_Billy_Joel.pdf&id=1401","You May Be Right","Billy Joel"
"song-display.html?song=Kentucky_Rain_Elvis_Presley.pdf&id=1400","Kentucky Rain","Elvis Presley"
"song-display.html?song=If_You_Could_Read_My_Mind_Gordon_Lightfoot.pdf&id=1399","If You Could Read My Mind","Gordon Lightfoot"
"song-display.html?song=We_Are_Done_Madden_Brothers.pdf&id=1398","We Are Done","Madden Brothers"
"song-display.html?song=You_Make_Me_Feel_Like_A_Natural_Woman_Aretha_Franklin.pdf&id=1397","You Make Me Feel Like A Natural Woman","Aretha Franklin"
"song-display.html?song=Kingston_Town_Lord_Creator.pdf&id=1396","Kingston Town","Lord Creator"
"song-display.html?song=Tried_So_Hard_Flying_Burrito_Brothers.pdf&id=1395","Tried So Hard","Flying Burrito Brothers"
"song-display.html?song=All_I_Really_Want_To_Do_Byrds.pdf&id=1394","All I Really Want To Do","Byrds"
"song-display.html?song=Reach_Out_Four_Tops.pdf&id=1393","Reach Out","Four Tops"
"song-display.html?song=Pierre_Carole_King.pdf&id=1391","Pierre","Carole King"
"song-display.html?song=Am_I_Ever_Gonna_See_Your_Face_Again_AUAS.pdf&id=1390","Am I Ever Gonna See Your Face Again - AUAS Version","Angels"
"song-display.html?song=Riptide_Vance_Joy.pdf&id=1389","Riptide","Vance Joy"
"song-display.html?song=Alison_Elvis_Costello.pdf&id=1388","Alison","Elvis Costello"
"song-display.html?song=Melanie_Makes_Me_Smile_Strangers.pdf&id=1387","Melanie Makes Me Smile","Strangers"
"song-display.html?song=One_Love_U2.pdf&id=1386","One Love","U2"
"song-display.html?song=Tainted_Love_Gypsy_Jazz.pdf&id=1385","Tainted Love","Gloria Jones"
"song-display.html?song=Royals_Lorde.pdf&id=1384","Royals","Lorde"
"song-display.html?song=Song_To_Raymondo_Autumn.pdf&id=1383","Song To Raymondo","Autumn"
"song-display.html?song=Lonely_People_America.pdf&id=1382","Lonely People","America"
"song-display.html?song=You_May_Be_Right_Billy_Joel.pdf&id=1381","You May Be Right","Billy Joel"
"song-display.html?song=A_Kind_Of_Hush_C_Hermans_Hermits.pdf&id=1380","A Kind Of Hush","Herman's Hermits"
"song-display.html?song=Breakaway_G_Beach_Boys.pdf&id=1379","Breakaway","Beach Boys"
"song-display.html?song=Ooh_La_La_Normie_Rowe.pdf&id=1378","Ooh La La","Normie Rowe"
"song-display.html?song=Stay_Alive_Jose_Gonzalez.pdf&id=1377","Stay Alive","Jose Gonzalez"
"song-display.html?song=I_Saw_Her_Standing_There_Beatles.pdf&id=1376","I Saw Her Standing There","Beatles"
"song-display.html?song=Darling_Be_Home_Soon_Lovin_Spoonful.pdf&id=1375","Darling Be Home Soon","Lovin' Spoonful"
"song-display.html?song=Who_Knew_Pink.pdf&id=1374","Who Knew","Pink"
"song-display.html?song=Breathe_Me_Sia.pdf&id=1373","Breathe Me","Sia"
"song-display.html?song=Puff_The_Magic_Dragon_Peter_Paul_and_Mary.pdf&id=1372","Puff the Magic Dragon","Peter Paul and Mary"
"song-display.html?song=Chelsea_Dagger_Fratellis.pdf&id=1371","Chelsea Dagger","Fratellis"
"song-display.html?song=Mr_Es_Beautiful_Blues_Eels.pdf&id=1368","Mr E's Beautiful Blues","Eels"
"song-display.html?song=You_Know_Im_No_Good_Amy_Winehouse.pdf&id=1365","You Know I'm No Good","Amy Winehouse"
"song-display.html?song=Cold_Blow_and_the_Rainy_Night_Planxty.pdf&id=1364","Cold Blow and the Rainy Night","Planxty"
"song-display.html?song=Marrakesh_Express_Crosby_Stills_Nash.pdf&id=1363","Marrakesh Express","Crosby Stills and Nash"
"song-display.html?song=Boys_of_Summer_Don_Henley_Custom_Kings.pdf&id=1362","Boys Of Summer","Don Henley"
"song-display.html?song=For_No_One_Beatles_C.pdf&id=1361","For No One","Beatles"
"song-display.html?song=Bang_Bang_Cher.pdf&id=1360","Bang Bang","Cher"
"song-display.html?song=Were_All_Alone_Boz_Scaggs_.pdf&id=1359","We're All Alone","Boz Scaggs"
"song-display.html?song=O_Holy_Night_Christmas.pdf&id=1358","O Holy Night","John Sullivan Dwight [Christmas]"
"song-display.html?song=Close_To_You_Carpenters.pdf&id=1357","Close To You","Carpenters"
"song-display.html?song=I_Got_Burned_Bamboos.pdf&id=1356","I Got Burned","Bamboos"
"song-display.html?song=SOS__Abba.pdf&id=1355","SOS","Abba"
"song-display.html?song=Close_To_Me_The_Cure_C.pdf&id=1354","Close To Me","Cure"
"song-display.html?song=I_Wont_Stand_In_Your_Way_Stray_Cats_A.pdf&id=1353","I Won't Stand In Your Way","Stray Cats"
"song-display.html?song=Diana_Paul_Anka.pdf&id=1352","Diana","Paul Anka"
"song-display.html?song=Little_Ray_Of_Sunshine_Axiom.pdf&id=1351","Little Ray Of Sunshine","Axiom"
"song-display.html?song=Handbags_and_Gladrags_Rod_Stewart.pdf&id=1350","Handbags and Gladrags","Rod Stewart"
"song-display.html?song=I_Am_A_Pirate_King_Gilbert_and_Sullivan.pdf&id=1349","I Am A Pirate King (Oh Better Far To Live and Die)","Gilbert and Sullivan"
"song-display.html?song=Pumped_Up_Kicks_Foster_The_People.pdf&id=1348","Pumped Up Kicks","Foster The People"
"song-display.html?song=Weve_Only_Just_Begun_Carpenters.pdf&id=1347","We've Only Just Begun","Carpenters"
"song-display.html?song=Walk_On_By_Dionne_Warwick.pdf&id=1346","Walk On By","Dionne Warwick"
"song-display.html?song=Mission_Of_My_Soul_Peter_Himmelman.pdf&id=1345","Mission Of My Soul","Peter Himmelman"
"song-display.html?song=Honolulu_Lulu_D_Jan_and_Dean.pdf&id=1344","Honolulu Lulu","Jan and Dean"
"song-display.html?song=Honolulu_Lulu_Jan_and_Dean.pdf&id=1343","Honolulu Lulu","Jan and Dean"
"song-display.html?song=Urge_For_Going_Joni_Mitchell.pdf&id=1342","Urge For Going","Joni Mitchell"
"song-display.html?song=Message_To_My_Girl_Split_Enz.pdf&id=1341","Message To My Girl","Split Enz"
"song-display.html?song=Pleasure_and_Pain_Divinyls.pdf&id=1340","Pleasure and Pain","Divinyls"
"song-display.html?song=Blister_In_The_Sun_Violent_Femmes.pdf&id=1339","Blister In The Sun","Violent Femmes"
"song-display.html?song=All_That_She_Wants__Ace_of_Base.pdf&id=1338","All That She Wants","Ace Of Base"
"song-display.html?song=Here_Today_Beach_Boys.pdf&id=1337","Here Today","Beach Boys"
"song-display.html?song=Sad_Lisa_Cat_Stevens.pdf&id=1336","Sad Lisa","Cat Stevens"
"song-display.html?song=Lonely_Boy_Black_Keys_Dm.pdf&id=1335","Lonely Boy","Black Keys"
"song-display.html?song=Poor_Poor_Pitiful_Me_Linda_Ronstadt.pdf&id=1334","Poor Poor Pitiful Me","Linda Ronstadt"
"song-display.html?song=Good_Lovin_Young_Rascals.pdf&id=1333","Good Lovin'","Young Rascals"
"song-display.html?song=Tears_In_Heaven_Eric_Clapton.pdf&id=1331","Tears In Heaven","Eric Clapton"
"song-display.html?song=First_Day_Of_My_Life_Bright_Eyes.pdf&id=1327","First Day Of My Life","Bright Eyes"
"song-display.html?song=Ive_Got_To_Have_You_D_Carly_Simon.pdf&id=1326","I've Got To Have You","Carly Simon"
"song-display.html?song=Ive_Got_To_Have_You_Carly_Simon.pdf&id=1325","I've Got To Have You","Carly Simon"
"song-display.html?song=Youre_So_Vain_Carly_Simon.pdf&id=1324","You're So Vain","Carly Simon"
"song-display.html?song=Walk_On_The_Wild_Side_Lou_Reed.pdf&id=1323","Walk On The Wild Side","Lou Reed"
"song-display.html?song=Handle_With_Care__F_Travelling_Wilburys.pdf&id=1322","Handle With Care","Travelling Wilburys"
"song-display.html?song=Along_Came_Jones_Ray_Stevens.pdf&id=1321","Along Came Jones","Ray Stevens"
"song-display.html?song=My_Boyfriends_Back_Angels.pdf&id=1320","My Boyfriend's Back","Angels"
"song-display.html?song=Hold_On_Tight_Electric_Light_Orchestra.pdf&id=1319","Hold On Tight","Electric Light Orchestra"
"song-display.html?song=Sugarman_Rodriguez.pdf&id=1318","Sugarman","Rodriguez"
"song-display.html?song=Climb_Every_Mountain_Rodgers_and_Hammerstein.pdf&id=1317","Climb Every Mountain","Rodgers and Hammerstein"
"song-display.html?song=Crimson_and_Clover_F_Tommy_James_and_the_Shondells.pdf&id=1316","Crimson and Clover","Tommy James and the Shondells"
"song-display.html?song=Please_Come_Home_For_Christmas_Eagles_F.pdf&id=1315","Please Come Home For Christmas","Eagles"
"song-display.html?song=Our_Day_Will_Come_Ruby_and_the_Romantics.pdf&id=1314","Our Day Will Come","Ruby and the Romantics"
"song-display.html?song=Blackbird_Beatles.pdf&id=1313","Blackbird","Beatles"
"song-display.html?song=Good_Riddance_Green_Day_F.pdf&id=1311","Good Riddance","Green Day"
"song-display.html?song=I_Never_Will_Marry_Linda_Ronstadt.pdf&id=1310","I Never Will Marry","Linda Ronstadt"
"song-display.html?song=WHAT_A_DAY_FOR_A_DAYDREAM_C_Lovin_Spoonful.pdf&id=1309","What A Day For A Daydream","Lovin' Spoonful"
"song-display.html?song=The_Old_Bazaar_In_Cairo_Clinton_Ford_and_George_Chisholm.pdf&id=1308","The Old Bazaar In Cairo","Clinton Ford and George Chisholm"
"song-display.html?song=The_Carnival_Is_Over_Seekers.pdf&id=1307","The Carnival Is Over","Seekers"
"song-display.html?song=Little_Talks_Of_Monsters_And_Men.pdf&id=1306","Little Talks","Of Monsters And Men"
"song-display.html?song=Rag_Doll_Four_Seasons.pdf&id=1305","Rag Doll","Four Seasons"
"song-display.html?song=Dear_Someone_Gillian_Welch.pdf&id=1304","Dear Someone","Gillian Welch"
"song-display.html?song=The_Only_Living_Boy_In_New_York_Simon_and_Garfunkel.pdf&id=1303","The Only Living Boy In New York","Simon and Garfunkel"
"song-display.html?song=Please_Come_Home_For_Christmas_Eagles.pdf&id=1302","Please Come Home For Christmas","Eagles"
"song-display.html?song=I_Wanna_Hold_Your_Hand_Forever_Buffy_Sainte_Marie.pdf&id=1301","I Wanna Hold Your Hand Forever","Buffy Sainte-Marie"
"song-display.html?song=River_Deep_Mountain_High_Ike_and_Tina_Turner.pdf&id=1300","River Deep Mountain High","Ike and Tina Turner"
"song-display.html?song=The_Model_Kraftwerk.pdf&id=1299","The Model","Kraftwerk"
"song-display.html?song=Rawhide_Blues_Brothers.pdf&id=1298","Rawhide","Blues Brothers"
"song-display.html?song=Breakfast_At_Tiffanys_G_Deep_Blue_Something.pdf&id=1297","Breakfast At Tiffany's","Deep Blue Something"
"song-display.html?song=Lightnin_Strikes_Lou_Christie.pdf&id=1289","Lightnin' Strikes","Lou Christie"
"song-display.html?song=Hello_Muddah_Hello_Faddah_Allan_Sherman.pdf&id=1288","Hello Muddah Hello Faddah","Allan Sherman"
"song-display.html?song=A_Song_For_You_Gram_Parsons.pdf&id=1287","A Song For You","Gram Parsons"
"song-display.html?song=Friday_Im_In_Love_Cure.pdf&id=1286","Friday I'm In Love","Cure"
"song-display.html?song=Mickey_Toni_Basil_D.pdf&id=1285","Mickey","Toni Basil"
"song-display.html?song=Running_Bear_Johnny_Preston_A.pdf&id=1284","Running Bear","Johnny Preston"
"song-display.html?song=Boys_Dont_Cry_Cure.pdf&id=1283","Boys Don't Cry","Cure"
"song-display.html?song=I_Wanna_Be_Your_Man_Beatles.pdf&id=1282","I Wanna Be Your Man","Beatles"
"song-display.html?song=I_Wonder_What_Shes_Doing_Tonight_Boyce_Hart.pdf&id=1281","I Wonder What She's Doing Tonight","Tommy Boyce and Bobby Hart"
"song-display.html?song=One_After_909_Beatles.pdf&id=1280","One After 909","Beatles"
"song-display.html?song=Shangri_La_M_Ward.pdf&id=1279","Shangri La","M Ward"
"song-display.html?song=You_Wont_See_Me_Beatles.pdf&id=1278","You Won't See Me","Beatles"
"song-display.html?song=Brighter_Than_The_Sun_Colbie_Caillat.pdf&id=1277","Brighter Than The Sun","Colbie Caillat"
"song-display.html?song=Ive_Just_Seen_A_Face_Beatles_G.pdf&id=1276","I've Just Seen A Face","Beatles"
"song-display.html?song=Walk_Dont_Run_Ventures.pdf&id=1275","Walk Don't Run","Ventures"
"song-display.html?song=What_A_Day_For_A_Daydream_Lovin_Spoonful.pdf&id=1274","What A Day For A Daydream","Lovin Spoonful"
"song-display.html?song=Midnight_Confessions_Grass_Roots.pdf&id=1273","Midnight Confessions","Grass Roots"
"song-display.html?song=Bad_Blood_Neil_Sedaka.pdf&id=1272","Bad Blood","Neil Sedaka"
"song-display.html?song=Spooky_Dusty_Springfield_Am.pdf&id=1271","Spooky","Dusty Springfield"
"song-display.html?song=Addams_Family_Theme_Vic_Mizzy.pdf&id=1270","Addams Family Theme","Vic Mizzy"
"song-display.html?song=Little_Green_Bag_George_Baker_Selection.pdf&id=1269","Little Green Bag","George Baker Selection"
"song-display.html?song=Soldier_Of_Love_Arthur_Alexander.pdf&id=1268","Soldier Of  Love","Arthur Alexander"
"song-display.html?song=Oh_My_Love_John_Lennon.pdf&id=1267","Oh My Love","John Lennon"
"song-display.html?song=Wanted_Man_George_Thorogood.pdf&id=1266","Wanted Man","George Thorogood"
"song-display.html?song=Dont_Fear_The_Reaper_Blue_Oyster_Cult.pdf&id=1265","Don't Fear The Reaper","Blue Oyster Cult"
"song-display.html?song=Slipping__Through_My_Fingers_Abba.pdf&id=1263","Slipping Through My Fingers","Abba"
"song-display.html?song=Super_Trouper_Abba.pdf&id=1262","Super Trouper","Abba"
"song-display.html?song=Spring_Fever_Tony_Pass.pdf&id=1261","Spring Fever","Tony Pass"
"song-display.html?song=When_I_Grow_Up_Beach_Boys.pdf&id=1260","When I Grow Up [To Be A Man]","Beach Boys"
"song-display.html?song=Nobody_Told_Me_John_Lennon.pdf&id=1259","Nobody Told Me","John Lennon"
"song-display.html?song=Spooky_Classics_IV.pdf&id=1258","Spooky","Classics IV"
"song-display.html?song=My_Favourite_Things_Rodgers_and_Hammerstein.pdf&id=1257","My Favourite Things","Rodgers and Hammerstein"
"song-display.html?song=Chevy_Van_Sammy_Johns.pdf&id=1256","Chevy Van","Sammy Johns"
"song-display.html?song=If_I__Didnt_Have_a_Dime_Gene_Pitney.pdf&id=1255","If I Didn't Have A Dime","Gene Pitney"
"song-display.html?song=I_Was_Made_For_Loving_You_Kiss.pdf&id=1254","I Was Made For Loving You","Kiss"
"song-display.html?song=Howzat_Sherbet.pdf&id=1253","Howzat","Sherbet"
"song-display.html?song=Help_Me_Rhonda_G_Beach_Boys.pdf&id=1252","Help Me Ronda","Beach Boys"
"song-display.html?song=Colours_F_Donovan.pdf&id=1251","Colours","Donovan"
"song-display.html?song=In_Between_Days_Cure.pdf&id=1250","In Between Days","Cure"
"song-display.html?song=Its_A_Living_Thing_ELO.pdf&id=1249","It's A Living Thing","ELO"
"song-display.html?song=Songbird_Fleetwood_Mac.pdf&id=1248","Songbird","Fleetwood Mac"
"song-display.html?song=One_x_Two_x_Three_x_Four_Zoot.pdf&id=1247","One x Two x Three x Four","Zoot"
"song-display.html?song=Waltzing_Matilda_Seekers.pdf&id=1246","Waltzing Matilda","Seekers"
"song-display.html?song=Cough_Syrup_Young_The_Giant.pdf&id=1245","Cough Syrup","Young The Giant"
"song-display.html?song=Girls_Talk_A__Dave_Edmunds.pdf&id=1244","Girls Talk","Dave Edmunds"
"song-display.html?song=Little_Black_Egg_Nightcrawlers.pdf&id=1243","Little Black Egg","Nightcrawlers"
"song-display.html?song=It_Aint_Necessarily_So.pdf&id=1242","It Ain't  Necessarily So","Porgy and Bess"
"song-display.html?song=Wild_Thing_The_Troggs.pdf&id=1241","Wild Thing","Troggs"
"song-display.html?song=I_Wish_One_Direction.pdf&id=1240","I Wish","One Direction"
"song-display.html?song=Senses_Working_Overtime_XTC.pdf&id=1239","Senses Working Overtime","XTC"
"song-display.html?song=Secret__o_Life_James_Taylor.pdf&id=1238","Secret o' Life","James Taylor"
"song-display.html?song=Diary_Bread.pdf&id=1237","Diary","Bread"
"song-display.html?song=Love_Stinks_J_Geils_Band.pdf&id=1236","Love Stinks","J. Geils Band"
"song-display.html?song=That_Look_You_Give_That_Guy_Eels.pdf&id=1235","That Look You Give That Guy","Eels"
"song-display.html?song=Drift_Away_Dobie_Gray.pdf&id=1234","Drift Away","Dobie Gray"
"song-display.html?song=Love_Is_The_Drug_Roxy_Music.pdf&id=1233","Love Is The Drug","Roxy Music"
"song-display.html?song=Love_The_One_Youre_With_Crosby_Stills_Nash_and_Young.pdf&id=1232","Love The One You're With","Crosby Stills Nash and Young"
"song-display.html?song=Tobacco_Road_Nashville_Teens.pdf&id=1231","Tobacco Road","Nashville Teens"
"song-display.html?song=The_Girl_I_Knew_Somewhere_Monkees.pdf&id=1230","The Girl I Knew Somewhere","Monkees"
"song-display.html?song=Go_Now_Moody_Blues.pdf&id=1229","Go Now","Moody Blues"
"song-display.html?song=Itchycoo_Park_Small_Faces.pdf&id=1228","Itchycoo Park","Small Faces"
"song-display.html?song=For_Your_Love_The_Yardbirds.pdf&id=1227","For Your Love","Yardbirds"
"song-display.html?song=Story_Book_Love_Willy_DeVille.pdf&id=1226","Story Book Love","Willy DeVille"
"song-display.html?song=Meet_Me_On_The_Corner_Lindisfarne.pdf&id=1225","Meet Me On The Corner","Lindisfarne"
"song-display.html?song=Teach_Your_Children_Crosby_Stills_Nash_and_Young.pdf&id=1224","Teach Your Children","Crosby Stills Nash and Young"
"song-display.html?song=Drive_Cars.pdf&id=1223","Drive","Cars"
"song-display.html?song=Groovin_C_Young_Rascals.pdf&id=1222","Groovin'","Young Rascals"
"song-display.html?song=Ill_Melt_With_You_Nouvelle_Vague.pdf&id=1221","I'll Melt With You","Nouvelle Vague"
"song-display.html?song=Strangers_G__Kinks.pdf&id=1220","Strangers","Kinks"
